Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL01_094.CRB;DL01_094.CRB;VL01_094.CRB;CL01_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
0.003274;0.060427;0;0.059342
0.003274;0.060427;0;0.057622
0.003274;0.060427;0;0.056476
0.003274;0.060427;0;0.057622
0.003274;0.060427;0;0.057622
0.003274;0.060427;0;0.058769
0.003274;0.060427;0;0.057622
0.003274;0.060427;0;0.056476
0.003274;0.060427;0;0.059916
0.003274;0.060427;0;0.057622
0.011171;10;0;1.749595
0.039741;10;7.468715;1.747302
0.086265;10;11.520433;1.746155
0.141615;10;13.710938;1.742715
0.201066;10;14.722674;1.747302
0.259132;10;14.889706;1.734688
0.314702;10;14.32657;1.747302
0.367554;10;13.562995;1.746729
0.42066;10;13.310061;1.740422
0.476904;10;14.274074;1.745582
0.540726;10;15.925304;1.735835
0.615701;10;18.316248;1.747302
0.703485;10;21.09375;1.745582
0.804178;10;24.090781;1.738128
0.916768;10;26.92078;1.745582
1.038251;10;29.297406;1.745582
1.164307;10;30.91523;1.746155
1.292608;10;32.26103;1.744435
1.422579;10;32.64759;1.740995
1.553631;10;32.914841;1.745582
1.687011;10;33.291856;1.745009
1.82493;10;34.150878;1.747875
1.970477;10;35.530084;1.746155
2.124478;10;37.424704;1.739275
2.286782;10;39.295462;1.746155
2.456477;10;42.760182;1.739275
2.63169;10;43.991446;1.747875
2.809637;10;44.654802;1.746155
2.988529;10;44.922053;1.746155
3.167775;10;45.074768;1.748449
3.346717;10;44.988866;1.738128
3.527837;10;45.108174;1.747302
3.713867;10;45.790619;1.747875
3.907744;10;48.806739;1.746729
4.110733;10;50.839757;1.746729
4.323696;10;53.135253;1.738128
4.545568;10;55.235083;1.747302
4.775355;10;57.06289;1.745582
5.010677;10;58.513682;1.746155
5.248699;10;59.482467;1.746729
5.486957;10;59.969246;1.736408
5.723831;10;59.54928;1.749595
5.959811;10;59.32498;1.746155
6.196432;10;59.387021;1.739848
6.435281;10;59.869027;1.749022
6.678129;10;60.570561;1.733541
6.927204;10;61.773191;1.748449
7.184244;10;63.352837;1.745582
7.448878;10;65.180644;1.739848
7.719317;10;68.082227;1.749022
7.994953;10;69.260996;1.736981
8.274926;10;70.205919;1.745582
8.557397;10;70.902681;1.746729
