Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL00_094.CRB;DL00_094.CRB;VL00_094.CRB;CL00_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
-0.000776;0.062258;0;0.059916
-0.000776;0.062258;0;0.061636
-0.000776;0.062258;0;0.059916
-0.000776;0.062258;0;0.063356
-0.000776;0.062258;0;0.059916
-0.000776;0.062258;0;0.060489
-0.000776;0.062258;0;0.063356
-0.000776;0.062258;0;0.060489
-0.000776;0.062258;0;0.063356
-0.000776;10;0;0.061062
0.010614;6.222419;2.581837;1.753036
0.036382;10;6.041785;1.110304
0.076579;10;9.04836;1.751315
0.126967;10;11.973805;1.750742
0.181811;10;13.228931;1.753609
0.237077;10;14.045002;1.753036
0.290706;10;13.730027;1.754182
0.34155;10;12.746925;1.752462
0.392664;10;12.828055;1.745009
0.446833;10;13.405508;1.752462
0.508494;10;14.894479;1.753036
0.580162;10;16.941813;1.751315
0.663677;10;19.490244;1.753036
0.759594;10;22.191389;1.745009
0.866464;10;24.94503;1.753036
0.981197;10;28.949025;1.753036
1.101026;10;30.037119;1.748449
1.223505;10;30.762515;1.754182
1.34838;10;31.206343;1.746155
1.474858;10;31.65017;1.751889
1.604087;10;32.065364;1.746155
1.738159;10;32.857573;1.753036
1.879234;10;34.160422;1.753036
2.027717;10;37.467655;1.747875
2.183355;10;39.042528;1.752462
2.346232;10;40.641262;1.749022
2.514459;10;41.987063;1.753036
2.685217;10;42.741093;1.752462
2.857258;10;43.075157;1.746729
3.030767;10;43.42831;1.752462
3.204461;10;43.65261;1.749022
3.379708;10;44.125072;1.754756
3.560051;10;45.251344;1.753036
3.747178;10;46.73077;1.744435
3.942371;10;48.453586;1.751315
4.146829;10;50.491376;1.751315
4.359774;10;52.548255;1.753609
4.580061;10;54.280615;1.751315
4.806253;10;55.845943;1.743288
5.035517;10;57.683295;1.753036
5.266147;10;57.993497;1.753036
5.495597;10;57.764424;1.751889
5.724472;10;57.478084;1.753036
5.953753;10;57.61171;1.744435
6.184991;10;57.821693;1.751315
6.420077;10;58.456414;1.753609
6.659837;10;59.377476;1.750742
6.906431;10;62.083394;1.751315
7.160062;10;63.686901;1.745009
7.420123;10;65.104286;1.750742
7.684976;10;66.287827;1.752462
7.953812;10;67.204116;1.750169
