Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL00_094.CRB;DL00_094.CRB;VL00_094.CRB;CL00_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
33.528583;-10;-17.543128;-1.630337
33.444006;-10;-19.709771;-1.650978
33.346114;-10;-22.530225;-1.651551
33.234519;-10;-25.594069;-1.634351
33.109341;-10;-31.616764;-1.650978
32.972434;-10;-34.260641;-1.627471
32.827984;-10;-36.107538;-1.650978
32.680564;-10;-36.966559;-1.652698
32.533954;-10;-37.062006;-1.636644
32.390989;-10;-36.441602;-1.652125
32.252512;-10;-35.587352;-1.625177
32.119166;-10;-34.336999;-1.649831
31.988149;-10;-32.886207;-1.653271
31.855714;-10;-33.196409;-1.632057
31.718351;-10;-34.284503;-1.650978
31.572669;-10;-35.983457;-1.625177
31.416846;-10;-38.140555;-1.650978
31.249091;-10;-40.622173;-1.651551
31.07025;-10;-43.323318;-1.640658
30.881554;-10;-45.666538;-1.651551
30.685466;-10;-49.369875;-1.624604
30.485464;-10;-50.233669;-1.649831
30.284955;-10;-50.448425;-1.650405
30.084784;-10;-50.343433;-1.630337
29.889996;3.097324;-50.080954;-1.652125
29.729497;10;-45.633132;1.410742
29.614562;10;-35.735295;1.761636
29.535283;10;-26.142888;1.759916
29.48184;10;-13.128712;1.761062
29.441644;10;-10.179405;1.762209
29.405312;10;-9.181986;1.757049
29.366989;10;-9.339473;1.763356
29.320211;10;-10.86185;1.760489
29.266768;10;-12.622844;1.758769
29.207149;10;-14.149993;1.762782
29.146314;10;-15.171274;1.753609
29.087269;10;-14.77517;1.762782
29.034652;10;-13.372102;1.761062
28.9953;10;-10.589826;1.757622
28.972536;10;-6.843538;1.762209
28.966984;10;-3.121111;1.761062
28.976316;10;0.567909;1.762782
29.000565;10;3.779695;1.760489
29.041622;10;7.220553;1.755329
29.097984;10;14.364749;1.761062
29.167121;10;17.242471;1.761062
29.246737;10;19.566601;1.764502
29.33469;10;21.590074;1.761062
29.42919;10;23.217443;1.757049
29.527419;10;24.324626;1.762782
29.627961;10;24.935486;1.760489
29.729987;10;25.398403;1.763356
29.833852;10;26.104709;1.761636
29.939051;7.960753;26.443546;1.757049
30.040065;-1.68218;25.742011;1.414182
30.117606;-9.697562;21.905049;-0.231923
30.153769;-10;13.310061;-1.632057
30.153499;-10;4.099442;-1.651551
30.132034;-10;-2.696373;-1.637791
30.107295;-10;-6.079963;-1.651551
30.091449;-9.243751;-3.836963;-1.651551
30.090791;-9.118015;-0.343609;-1.52312
30.101439;-9.949034;2.271635;-1.501905
30.119411;-10;4.113759;-1.617723
30.141163;-10;5.240031;-1.652125
30.161447;-10;5.464331;-1.650978
30.176077;-10;4.653033;-1.645244
30.182422;-10;3.164063;-1.651551
30.179554;-10;-0.892428;-1.624604
30.169834;-10;-2.362309;-1.652125
30.15117;-10;-4.233067;-1.650978
30.119344;-10;-7.005798;-1.651551
30.075283;-9.744865;-9.94556;-1.650978
30.021857;-5.173193;-12.493991;-1.128078
29.970692;-0.169988;-13.672759;-0.07425
29.932234;4.511856;-12.183788;0.813879
29.915983;9.137852;-3.679475;1.391821
29.921906;8.671529;1.274215;1.616003
29.936351;7.361675;3.579256;1.539174
29.945717;6.258126;3.01612;1.310978
29.941633;6.172674;0.233845;1.124064
29.928926;7.001862;-2.266862;1.11145
29.914566;8.327586;-3.622207;1.402142
29.906145;9.574267;-3.407452;1.69226
29.907394;10;0.458145;1.762209
29.915781;-10.000305;2.028245;1.762782
29.902669;-10;-1.722815;-1.648111
29.861021;-10;-8.804971;-1.652125
29.800659;-10;-13.672759;-1.629764
29.734847;-10;-16.311864;-1.651551
