Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL03_094.CRB;DL03_094.CRB;VL03_094.CRB;CL03_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
32,516707;-10,000000;42,483386;-1,637218
32,668802;-10,000000;39,481583;-1,654991
32,807548;-10,000000;36,622951;-1,636071
32,931124;-10,000000;33,401620;-1,654418
33,037757;-10,000000;29,979851;-1,645818
33,126958;-10,000000;22,186617;-1,656712
33,198677;-10,000000;18,249435;-1,654991
33,252559;-10,000000;14,288391;-1,631484
33,289161;-10,000000;10,418022;-1,654418
33,307757;-10,000000;6,404483;-1,654418
33,312077;-10,000000;2,729779;-1,644671
33,307149;-10,000000;-0,090674;-1,655565
33,298864;-10,000000;-1,508060;-1,625750
33,286427;-10,000000;-3,207014;-1,653845
33,268438;-10,000000;-4,447823;-1,652698
33,244948;-10,000000;-5,607502;-1,653271
33,213594;-10,000000;-7,287366;-1,654418
33,172588;-10,000000;-9,334700;-1,630911
33,122554;-10,000000;-11,482254;-1,653845
33,063002;-10,000000;-13,462776;-1,653845
32,995114;-9,881283;-15,677143;-1,622310
32,920594;-9,692679;-18,845978;-1,620017
32,841180;-9,598682;-19,900665;-1,577588
32,759319;-9,524216;-20,497208;-1,587909
32,675518;-9,443953;-20,960125;-1,573002
32,590822;-9,368877;-21,203514;-1,542614
32,504456;-9,273049;-21,513717;-1,547774
32,414901;-9,147008;-21,971861;-1,491012
32,320384;-8,966338;-22,778387;-1,480118
32,220332;-8,436842;-25,226598;-1,437116
32,113682;-8,089846;-26,758520;-1,390101
32,000737;-7,723014;-28,099548;-1,332766
31,882646;-7,329020;-29,349902;-1,204907
31,760522;-6,922514;-30,375955;-1,134958
31,635714;-6,519059;-31,067945;-1,066155
31,510114;-6,117740;-31,483138;-0,987032
31,385188;-5,727714;-31,588130;-0,933136
31,261663;-4,983673;-31,063172;-0,859174
31,139674;-4,610431;-30,686157;-0,808145
31,019203;-4,223151;-30,380728;-0,703794
30,900319;-3,842280;-29,941672;-0,614351
30,782886;-3,439741;-29,660104;-0,546695
30,666634;-3,030183;-29,373763;-0,460692
30,551259;-2,607807;-29,135146;-0,407943
30,437421;-2,175665;-28,910846;-0,332833
30,325995;-1,341899;-27,946833;-0,251990
30,217354;-0,931425;-27,364608;-0,192934
30,111750;-0,535905;-26,629667;-0,121265
30,008914;-0,130619;-26,004490;-0,057049
29,909469;0,289315;-25,412720;0,009460
29,813923;0,672323;-24,568015;0,042715
29,723794;1,028474;-23,513328;0,173440
29,639992;1,354411;-22,253430;0,272631
29,562519;1,923582;-19,361390;0,313339
29,490632;2,205878;-18,149216;0,359207
29,425056;2,455824;-16,765237;0,410809
29,366432;2,672811;-15,238087;0,472159
29,314423;2,872707;-13,749117;0,514013
29,270126;3,031404;-12,069252;0,544975
29,231651;3,180639;-10,542103;0,571923
29,200483;3,324686;-9,191530;0,600017
29,175626;3,512986;-6,189727;0,610337
29,154718;3,635060;-5,297299;0,633271
29,138046;3,745231;-4,423961;0,647605
29,126874;3,807489;-3,226103;0,673980
29,121660;3,830683;-1,846896;0,683153
29,121154;3,844111;-0,610860;0,683153
29,123449;3,876156;0,229072;0,688314
29,126014;3,947569;0,544047;0,700354
29,129895;4,092227;1,016509;0,715835
29,136291;4,123966;1,565328;0,727875
29,146314;4,123661;2,319358;0,731889
29,159747;4,093448;3,216558;0,729595
29,175626;4,082766;3,755833;0,726155
29,194222;4,063540;4,266474;0,723288
29,217712;3,996704;5,130267;0,710674
29,245506;3,889584;6,204044;0,690607
29,275037;3,706473;7,425764;0,675126
29,304484;3,665273;7,378040;0,659073
29,335517;3,577685;7,750283;0,653339
29,366837;3,503525;7,898226;0,631551
29,396132;3,474227;7,554617;0,620658
29,425579;3,434553;7,339862;0,618364
29,455312;3,358257;7,483032;0,600590
29,483004;3,302103;7,378040;0,592563
29,510190;3,225806;6,857855;0,592563
29,538557;3,134556;7,110789;0,578803
29,567548;3,039949;7,320772;0,563322
29,596067;2,981658;7,115562;0,547268
29,626273;2,870571;7,420991;0,525481
29,658201;2,740562;7,826640;0,508853
29,689453;2,625507;7,984128;0,477892
29,721127;2,533341;7,860047;0,461838
29,753595;2,280648;8,184566;0,440624
29,784696;2,198248;7,831413;0,418836
29,815307;2,095401;7,702560;0,409663
29,847032;1,956847;7,907770;0,388449
29,877626;1,839961;7,836185;0,352901
29,907984;1,743217;7,549845;0,327099
29,939811;1,590320;7,821868;0,303592
29,970624;1,439863;7,988900;0,284098
30,000561;1,201209;7,516438;0,260017
30,030514;1,064791;7,502121;0,237083
30,058746;0,950346;7,249187;0,217015
30,083687;0,893887;6,452206;0,195228
30,107329;0,808741;6,046557;0,192934
30,130329;0,707419;5,841346;0,164840
30,150917;0,604572;5,659997;0,144199
30,167421;0,563372;4,896423;0,133879
30,171369;-5,379803;0,596543;-1,652698
30,158629;-10,000000;-3,111567;-0,863760
30,133063;-10,000000;-5,779306;-1,657285
30,097457;-10,000000;-8,509085;-1,654991
30,059370;-10,000000;-9,516049;-1,653845
30,022009;-10,000000;-9,549456;-1,653845
29,989440;-10,000000;-8,976775;-1,637218
29,961647;-10,000000;-7,850502;-1,654418
29,935609;-10,000000;-6,590604;-1,648685
29,909166;-10,000000;-6,647872;-1,654418
29,878166;-10,000000;-7,473487;-1,652698
29,838037;-10,000000;-9,329928;-1,626324
29,786181;-10,000000;-11,911765;-1,653845
29,721532;-10,000000;-14,546098;-1,648111
29,644380;-10,000000;-17,543128;-1,653845
29,556866;-10,000000;-20,187006;-1,653271
29,461742;-10,000000;-24,004879;-1,630337
29,361994;-10,000000;-25,040477;-1,653845
29,260474;-10,000000;-25,484305;-1,654991
29,158954;-10,000000;-25,541573;-1,638938
29,057282;-10,000000;-25,541573;-1,651551
28,955289;-10,000000;-25,570207;-1,633204
28,851221;-10,000000;-25,732467;-1,652698
28,743137;-10,000000;-26,424456;-1,653271
28,629754;-10,000000;-28,581555;-1,657285
28,509924;-10,000000;-29,994168;-1,653845
28,383817;-10,000000;-31,459277;-1,626324
28,251838;-10,000000;-32,824166;-1,654418
28,115556;-10,000000;-33,888399;-1,654418
27,976286;-10,000000;-34,671063;-1,640658
27,835734;-10,000000;-35,196020;-1,653271
27,694474;-10,000000;-35,386914;-1,627471
27,552876;-10,000000;-35,592125;-1,653271
27,409877;-10,000000;-35,954823;-1,654418
27,264786;-10,000000;-36,307976;-1,638364
27,115594;-10,000000;-37,157453;-1,653845
26,960512;-10,000000;-38,374400;-1,633204
26,798462;-10,000000;-39,810875;-1,653845
26,628952;-10,000000;-41,471650;-1,654991
26,452963;-10,000000;-43,108563;-1,648111
26,271911;-10,000000;-45,566319;-1,653845
26,087670;-10,000000;-46,301260;-1,627471
25,901842;-10,000000;-46,611462;-1,653271
25,715087;-10,000000;-46,935981;-1,649258
25,529074;-10,000000;-46,888258;-1,654991
25,343280;-10,000000;-46,663958;-1,653845
25,156659;-10,000000;-46,826217;-1,627471
24,968554;-10,000000;-46,931209;-1,653271
24,776584;-10,000000;-48,329505;-1,656138
