Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL04_094.CRB;DL04_094.CRB;VL04_094.CRB;CL04_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
0,000304;-0,084536;0,152715;0,100624
-0,000236;0,175176;0,000000;0,050169
-0,000236;0,602435;-0,152715;0,066222
0,000304;-0,087283;0,152715;0,071383
-0,000236;0,172430;0,000000;0,051889
-0,000236;0,339671;0,000000;0,121838
0,000304;-0,088198;0,152715;0,094890
-0,000236;0,600909;-0,152715;0,055902
0,000304;0,340892;0,000000;0,133305
0,000304;-0,086978;0,152715;0,069663
0,003679;10,000000;-0,152715;1,724367
0,025650;10,000000;2,615243;1,725514
0,064530;10,000000;6,771953;1,724367
0,115054;10,000000;12,823282;1,722074
0,169999;10,000000;13,753889;1,726088
0,225197;10,000000;14,035457;1,721501
0,276868;10,000000;13,195525;1,725514
0,322819;10,000000;12,245829;1,724367
0,363842;10,000000;10,818899;1,721501
0,403161;10,000000;10,074413;1,726088
0,443002;10,000000;9,783301;1,719781
0,488751;10,000000;11,615880;1,726088
0,542514;10,000000;13,372102;1,724367
0,607382;10,000000;15,820313;1,722074
0,683842;10,000000;18,368743;1,724941
0,771778;10,000000;21,055572;1,714047
0,869906;10,000000;23,465604;1,726088
0,974717;10,000000;25,422264;1,723794
1,082987;10,000000;26,677390;1,724367
1,192522;10,000000;27,522095;1,724367
1,302261;10,000000;27,588908;1,718634
1,412809;10,000000;27,755940;1,727234
1,524707;10,000000;27,999329;1,724367
1,639710;10,000000;28,548148;1,719207
1,758999;10,000000;29,364219;1,723794
1,884448;10,000000;30,557304;1,719781
2,016731;10,000000;32,027185;1,724367
2,154836;10,000000;34,795144;1,724941
2,297582;10,000000;35,825969;1,723221
2,443753;10,000000;36,642040;1,724941
2,592186;10,000000;37,209949;1,715194
2,741259;10,000000;37,381753;1,725514
2,890957;10,000000;37,548785;1,723794
3,042495;10,000000;37,835125;1,720354
3,196142;10,000000;38,178734;1,723794
3,353231;10,000000;39,543624;1,719781
3,516024;10,000000;40,827384;1,725514
3,685534;10,000000;42,359305;1,722647
3,862519;10,000000;43,886455;1,719207
4,046507;10,000000;45,637904;1,724367
4,236553;10,000000;47,098241;1,719207
4,430227;10,000000;48,191107;1,724941
4,626231;10,000000;48,849690;1,724941
4,823229;10,000000;49,532135;1,720927
5,019756;10,000000;49,403282;1,725514
5,216451;10,000000;49,422371;1,716341
5,412808;10,000000;49,422371;1,724367
5,609841;10,000000;49,346014;1,722074
5,809860;10,000000;49,861427;1,719781
6,013896;10,000000;50,634546;1,723794
6,223078;10,000000;51,593787;1,719781
6,437728;10,000000;54,046770;1,724367
6,657559;10,000000;55,177815;1,723221
6,882334;10,000000;56,308860;1,720354
7,111530;10,000000;57,363548;1,725514
7,344152;10,000000;58,179618;1,717487
7,577871;10,000000;58,685486;1,726661
7,812197;10,000000;58,771389;1,723221
8,047147;10,000000;58,962282;1,724941
8,282824;10,000000;59,243850;1,725514
8,519749;10,000000;59,573142;1,719207
8,758277;10,000000;59,859482;1,725514
8,999691;10,000000;60,422619;1,726088
9,245070;10,000000;61,262551;1,720927
9,494331;10,000000;62,202702;1,723221
9,747084;10,000000;63,014000;1,724367
10,002606;10,000000;63,768030;1,723221
10,261131;10,000000;65,013612;1,724367
10,521529;10,000000;65,443122;1,719207
10,782922;10,000000;65,700829;1,725514
11,044603;10,000000;65,710373;1,716341
11,307667;10,000000;65,982397;1,725514
11,572251;10,000000;66,292599;1,724367
11,838808;10,000000;66,741199;1,719781
12,107407;10,000000;67,108670;1,726088
12,379449;10,000000;68,411519;1,714047
12,654883;10,000000;69,136915;1,726661
12,933709;10,000000;70,029343;1,723794
13,215437;10,000000;70,606796;1,718061
13,500202;10,000000;71,265379;1,723221
13,787617;10,000000;71,952596;1,723221
14,076551;10,000000;72,472782;1,723221
14,366531;10,000000;72,711399;1,725514
14,657456;10,000000;73,155227;1,719781
14,949832;10,000000;73,489290;1,723794
15,242411;10,000000;73,537014;1,722074
15,535867;10,000000;73,694501;1,724367
15,831180;10,000000;73,976069;1,723794
16,128619;10,000000;74,524889;1,719781
16,428049;10,000000;74,987806;1,726088
16,730162;10,000000;75,450723;1,718634
17,035852;10,000000;76,849019;1,727234
17,344041;10,000000;77,450334;1,723794
17,654152;10,000000;77,865528;1,720927
17,966627;10,000000;78,380941;1,724941
18,281447;10,000000;78,944077;1,724941
