     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
      2328      58.8      57.7       7.5      1050      0.50        60
      2348      59.3      58.1       8.6      1250      0.50        61
      2366      59.8      58.6       8.1      1150      0.50        63
      2384      60.4      59.2       8.2      1150      0.53        63
      2404      60.9      59.8       7.7      1050      0.48        62
      2422      61.4      60.4       7.2       950      0.49        63
      2441      62.0      60.8       8.6      1200      0.50        64
      2461      62.5      61.3       8.2      1100      0.53        67
      2479      63.0      61.9       7.7      1050      0.51        67
      2497      63.6      62.6       7.2       850      0.49        63
      2517      64.1      63.1       6.8       850      0.51        59
      2533      64.6      63.5       7.7      1000      0.47        60
      2551      65.1      64.0       7.7      1100      0.53        63
      2572      65.7      64.5       8.1      1050      0.51        66
      2589      66.2      65.2       7.4      1050      0.50        64
      2609      66.7      65.7       7.1       950      0.49        61
      2627      67.2      66.2       7.4       950      0.48        60
      2645      67.8      66.7       8.1      1000      0.52        61
      2664      68.3      67.1       8.4      1100      0.50        63
      2682      68.9      67.8       7.7      1050      0.51        66
      2702      69.4      68.3       7.4       850      0.47        65
      2720      69.9      68.9       6.9       850      0.53        63
      2738      70.4      69.3       7.9       900      0.51        64
      2755      70.9      69.9       7.2       850      0.52        64
      2774      71.4      70.5       6.9       850      0.49        66
      2792      72.0      71.0       6.9       900      0.52        67
      2813      72.5      71.5       7.2       850      0.52        66
      2830      73.0      72.1       6.9       750      0.47        64
      2848      73.6      72.6       6.9       750      0.50        61
      2868      74.1      73.0       7.9       850      0.49        62
      2886      74.7      73.5       7.9      1000      0.47        68
      2905      75.2      74.1       7.9       950      0.52        73
      2925      75.7      74.6       8.2       850      0.51        73
      2943      76.2      75.2       7.2       800      0.50        73
      2961      76.8      75.8       7.2       650      0.49        69
      2979      77.3      76.2       7.5       750      0.55        69
      2997      77.8      76.7       7.7       800      0.49        69
      3015      78.4      77.4       6.6       600      0.55        66
