     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      89.3      89.0       2.3       200      0.00         1
        10      89.3      89.1       1.6       150      0.16         2
        30      89.3      89.0       2.0       150      0.08         1
        49      89.2      89.1       0.9       100      0.08         1
        67      89.2      89.1       0.5       100      0.06         2
        85      89.1      89.1      -0.1       100      0.05         1
       104      88.9      89.1      -0.9       100      0.04         1
       121      88.8      89.1      -1.8       100      0.03         1
       139      88.7      89.1      -2.9      -150      0.00        -3
       160      88.5      89.1      -4.0      -350     -0.05       -12
       178      88.3      89.0      -4.7      -550     -0.09       -23
       197      88.1      88.7      -4.4      -350     -0.10       -31
       216      87.9      88.4      -4.0      -200     -0.13       -32
       237      87.6      88.2      -4.7      -150     -0.15       -32
       257      87.3      88.0      -4.7      -150     -0.19       -32
       276      87.0      87.7      -5.1      -300     -0.21       -35
       297      86.6      87.3      -4.7      -300     -0.24       -36
       317      86.3      86.9      -4.6      -300     -0.25       -38
       336      85.9      86.6      -4.7      -300     -0.27       -40
       357      85.5      86.2      -4.9      -400     -0.26       -45
       377      85.1      85.8      -5.3      -300     -0.33       -48
       395      84.7      85.5      -6.1      -300     -0.33       -51
       413      84.2      85.0      -5.5      -250     -0.35       -50
       434      83.7      84.5      -5.6      -250     -0.36       -51
       454      83.2      84.1      -5.9      -400     -0.37       -54
       473      82.7      83.6      -6.2      -450     -0.49       -58
       494      82.2      83.1      -6.4      -350     -0.41       -63
       511      81.5      82.3      -5.5      -200     -0.47       -61
       538      81.0      81.8      -5.7      -250     -0.44       -60
       555      80.5      81.3      -5.7      -250     -0.44       -60
       574      79.9      80.8      -6.6      -400     -0.51       -64
       595      79.4      80.3      -6.8      -450     -0.49       -68
       613      78.8      79.6      -5.6      -200     -0.50       -68
       633      78.2      79.0      -5.6      -150     -0.45       -62
       652      77.7      78.5      -5.6      -200     -0.48       -62
       673      77.1      78.1      -7.1      -300     -0.51       -63
       692      76.6      77.5      -6.6      -300     -0.52       -65
       710      76.0      76.9      -6.1      -150     -0.48       -63
       729      75.5      76.2      -5.5      -150     -0.49       -60
       750      74.9      75.8      -6.1      -300     -0.48       -63
       770      74.4      75.2      -5.7      -300     -0.48       -64
       788      73.9      74.7      -6.1      -300     -0.49       -67
       805      73.3      74.3      -6.8      -300     -0.50       -69
       824      72.8      73.7      -6.4      -250     -0.51       -69
       842      72.3      73.2      -6.4      -200     -0.50       -68
       863      71.7      72.5      -5.7      -150     -0.51       -66
       883      71.1      72.0      -5.9      -200     -0.52       -63
       901      70.6      71.4      -5.5      -150     -0.50       -61
       919      70.1      70.8      -5.1      -150     -0.50       -60
       937      69.6      70.4      -5.7      -200     -0.52       -61
       958      69.0      69.8      -5.5      -200     -0.50       -62
       975      68.5      69.3      -5.5      -150     -0.49       -62
       995      68.0      68.7      -5.1      -200     -0.52       -62
      1013      67.4      68.2      -5.7      -150     -0.50       -63
      1032      66.8      67.6      -5.3      -100     -0.50       -61
      1053      66.3      67.0      -5.3      -100     -0.49       -60
      1073      65.7      66.5      -5.3      -150     -0.50       -58
      1091      65.2      66.0      -5.6      -200     -0.51       -60
      1109      64.6      65.4      -5.6      -150     -0.50       -61
      1130      64.1      64.8      -5.1      -100     -0.51       -61
      1150      63.5      64.2      -5.1      -100     -0.50       -60
      1169      63.0      63.7      -4.7      -100     -0.49       -60
      1186      62.5      63.2      -4.9      -150     -0.47       -61
      1204      61.9      62.7      -5.7      -200     -0.54       -63
      1225      61.4      62.3      -5.9      -100     -0.51       -63
      1243      60.9      61.5      -4.7       -50     -0.51       -62
      1263      60.4      61.0      -4.2       -50     -0.50       -60
      1280      59.8      60.5      -5.1       -50     -0.48       -60
      1300      59.2      59.9      -5.1       -50     -0.50       -59
      1319      58.7      59.5      -5.7       -50     -0.50       -60
      1340      58.1      58.8      -5.3      -150     -0.51       -62
      1359      57.6      58.3      -4.7       -50     -0.51       -63
      1377      57.0      57.7      -4.9       -50     -0.52       -63
      1396      56.5      57.2      -4.4         0     -0.52       -61
      1414      56.0      56.6      -4.0         0     -0.49       -59
      1432      55.4      56.0      -4.2         0     -0.52       -58
      1453      54.9      55.6      -4.9         0     -0.49       -58
      1472      54.3      54.9      -4.2         0     -0.51       -58
      1491      53.8      54.5      -4.6         0     -0.47       -59
      1509      53.2      53.9      -4.6         0     -0.51       -60
      1530      52.7      53.4      -5.5       -50     -0.48       -59
      1550      52.1      52.8      -4.7       -50     -0.53       -60
      1569      51.6      52.3      -5.1       -50     -0.54       -61
      1586      51.1      51.7      -4.0         0     -0.50       -63
      1604      50.5      51.0      -3.4        50     -0.53       -63
      1625      50.0      50.5      -3.6       100     -0.51       -62
      1642      49.5      50.0      -3.8       100     -0.54       -61
      1662      48.9      49.4      -3.8       100     -0.53       -61
      1681      48.3      48.8      -3.1       150     -0.50       -58
