Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
157;397.304;434.557;434.276;397.013;421.885;421.865
158;397.148;434.635;434.352;396.855;421.881;421.861
159;396.991;434.712;434.428;396.697;421.877;421.857
160;396.835;434.79;434.504;396.539;421.872;421.853
161;396.678;434.867;434.579;396.381;421.868;421.848
162;396.522;434.944;434.654;396.222;421.863;421.843
163;396.365;435.021;434.73;396.064;421.858;421.838
164;396.208;435.098;434.804;395.905;421.853;421.833
165;396.051;435.174;434.879;395.746;421.848;421.827
166;395.893;435.25;434.953;395.587;421.842;421.822
167;395.736;435.327;435.028;395.428;421.836;421.816
168;395.578;435.402;435.102;395.268;421.83;421.81
169;395.421;435.478;435.176;395.109;421.824;421.803
170;395.263;435.554;435.249;394.949;421.818;421.797
171;395.105;435.629;435.323;394.79;421.811;421.79
172;394.947;435.704;435.396;394.63;421.804;421.783
173;394.788;435.779;435.469;394.47;421.797;421.776
174;394.63;435.854;435.542;394.31;421.79;421.769
175;394.471;435.928;435.615;394.149;421.783;421.761
176;394.313;436.003;435.687;393.989;421.775;421.754
177;394.154;436.077;435.759;393.828;421.768;421.746
178;393.995;436.151;435.832;393.668;421.76;421.738
179;393.836;436.224;435.903;393.507;421.751;421.729
180;393.677;436.298;435.975;393.346;421.743;421.721
181;393.517;436.371;436.047;393.185;421.734;421.712
182;393.358;436.444;436.118;393.024;421.726;421.703
183;393.198;436.517;436.189;392.862;421.717;421.694
184;393.038;436.59;436.26;392.701;421.707;421.685
185;392.879;436.663;436.331;392.539;421.698;421.675
186;392.719;436.735;436.401;392.377;421.688;421.666
187;392.558;436.807;436.472;392.216;421.679;421.656
188;392.398;436.879;436.542;392.054;421.669;421.645
189;392.238;436.951;436.612;391.891;421.658;421.635
190;392.077;437.023;436.681;391.729;421.648;421.625
191;391.916;437.094;436.751;391.567;421.637;421.614
192;391.755;437.165;436.82;391.404;421.627;421.603
193;391.595;437.236;436.889;391.241;421.616;421.592
194;391.433;437.307;436.958;391.079;421.604;421.58
195;391.272;437.378;437.027;390.916;421.593;421.569
196;391.111;437.448;437.096;390.753;421.581;421.557
197;390.949;437.518;437.164;390.589;421.57;421.545
198;390.788;437.588;437.232;390.426;421.557;421.533
199;390.626;437.658;437.3;390.262;421.545;421.521
200;390.464;437.728;437.368;390.099;421.533;421.508
201;390.302;437.797;437.435;389.935;421.52;421.495
202;390.14;437.866;437.503;389.771;421.507;421.483
203;389.977;437.935;437.57;389.607;421.494;421.469
204;389.815;438.004;437.637;389.443;421.481;421.456
205;389.652;438.073;437.703;389.279;421.468;421.442
206;389.49;438.141;437.77;389.114;421.454;421.429
207;389.327;438.209;437.836;388.95;421.44;421.415
208;389.164;438.277;437.902;388.785;421.426;421.401
