Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
264;378.981;442.283;441.802;378.511;420.326;420.291
265;378.807;442.341;441.858;378.336;420.3;420.265
266;378.634;442.399;441.914;378.16;420.273;420.239
267;378.46;442.456;441.97;377.985;420.247;420.212
268;378.286;442.514;442.025;377.809;420.22;420.185
269;378.112;442.571;442.08;377.633;420.193;420.158
270;377.937;442.628;442.135;377.458;420.166;420.131
271;377.763;442.684;442.19;377.282;420.139;420.104
272;377.589;442.741;442.244;377.106;420.111;420.076
273;377.414;442.797;442.299;376.929;420.084;420.048
274;377.239;442.853;442.353;376.753;420.056;420.02
275;377.064;442.909;442.407;376.577;420.028;419.992
276;376.889;442.965;442.461;376.4;419.999;419.963
277;376.714;443.02;442.514;376.223;419.971;419.935
278;376.539;443.075;442.567;376.046;419.942;419.906
279;376.364;443.13;442.621;375.869;419.913;419.877
280;376.188;443.185;442.673;375.692;419.884;419.848
281;376.012;443.24;442.726;375.515;419.855;419.818
282;375.837;443.294;442.779;375.338;419.825;419.788
283;375.661;443.348;442.831;375.16;419.795;419.759
284;375.485;443.402;442.883;374.983;419.765;419.729
285;375.309;443.456;442.935;374.805;419.735;419.698
286;375.133;443.509;442.986;374.627;419.705;419.668
287;374.956;443.563;443.038;374.449;419.674;419.637
288;374.78;443.616;443.089;374.271;419.644;419.606
289;374.603;443.668;443.14;374.093;419.613;419.575
290;374.426;443.721;443.191;373.915;419.581;419.544
291;374.25;443.774;443.241;373.737;419.55;419.512
292;374.073;443.826;443.292;373.558;419.519;419.481
293;373.896;443.878;443.342;373.379;419.487;419.449
294;373.718;443.93;443.392;373.201;419.455;419.417
295;373.541;443.981;443.441;373.022;419.423;419.384
296;373.364;444.033;443.491;372.843;419.39;419.352
297;373.186;444.084;443.54;372.664;419.358;419.319
298;373.008;444.135;443.589;372.484;419.325;419.286
299;372.831;444.186;443.638;372.305;419.292;419.253
300;372.653;444.236;443.687;372.125;419.259;419.22
301;372.475;444.287;443.735;371.946;419.225;419.186
302;372.296;444.337;443.784;371.766;419.192;419.152
303;372.118;444.387;443.832;371.586;419.158;419.118
304;371.94;444.436;443.879;371.406;419.124;419.084
305;371.761;444.486;443.927;371.226;419.089;419.05
306;371.583;444.535;443.974;371.046;419.055;419.015
307;371.404;444.584;444.022;370.866;419.02;418.981
308;371.225;444.633;444.069;370.685;418.986;418.946
309;371.046;444.682;444.115;370.505;418.951;418.91
310;370.867;444.73;444.162;370.324;418.915;418.875
311;370.688;444.778;444.208;370.143;418.88;418.839
312;370.508;444.826;444.254;369.962;418.844;418.804
313;370.329;444.874;444.3;369.781;418.808;418.768
314;370.149;444.922;444.346;369.6;418.772;418.732
315;369.969;444.969;444.391;369.419;418.736;418.695
