a1(rad)
Temps(s)   a1(rad)     
1.242640 49.709261
1.246560 49.866073
1.250480 50.022884
1.254400 50.179696
1.258320 50.336508
1.262240 50.493319
1.266160 50.650131
1.270080 50.806942
1.274000 50.963754
1.277920 51.120565
1.281840 51.277377
1.285760 51.434188
1.289680 51.591000
1.293600 51.747812
1.297520 51.904623
1.301440 52.061435
1.305360 52.218246
1.309280 52.375058
1.313200 52.531869
1.317120 52.688681
1.321040 52.845492
1.324960 53.002304
1.328880 53.159115
1.332800 53.315927
1.336720 53.472739
1.340640 53.629550
1.344560 53.786362
1.348480 53.943173
1.352400 54.099985
1.356320 54.256796
1.360240 54.413608
1.364160 54.570419
1.368080 54.727231
1.372000 54.884043
1.375920 55.040854
1.379840 55.197666
1.383760 55.354477
1.387680 55.511289
1.391600 55.668100
1.395520 55.824912
1.399440 55.981723
1.403360 56.138535
1.407280 56.295346
1.411200 56.452158
1.415120 56.608970
1.419040 56.765781
1.422960 56.922593
1.426880 57.079404
1.430800 57.236216
1.434720 57.393027
1.438640 57.549839
1.442560 57.706650
1.446480 57.863462
1.450400 58.020274
1.454320 58.177085
1.458240 58.333897
1.462160 58.490708
1.466080 58.647520
1.470000 58.804331
1.473920 58.961143
1.477840 59.117954
1.481760 59.274766
1.485680 59.431577
1.489600 59.588389
1.493520 59.745201
1.497440 59.902012
1.501360 60.058824
1.505280 60.215635
1.509200 60.372447
1.513120 60.529258
1.517040 60.686070
1.520960 60.842881
1.524880 60.999693
1.528800 61.156505
1.532720 61.313316
1.536640 61.470128
1.540560 61.626939
1.544480 61.783751
1.548400 61.940562
1.552320 62.097374
1.556240 62.254185
1.560160 62.410997
1.564080 62.567808
1.568000 62.724620
1.571920 62.881432
1.575840 63.038243
1.579760 63.195055
1.583680 63.351866
1.587600 63.508678
1.591520 63.665489
1.595440 63.822301
1.599360 63.979112
1.603280 64.135924
1.607200 64.292736
1.611120 64.449547
1.615040 64.606359
1.618960 64.763170
1.622880 64.919982
1.626800 65.076793
1.630720 65.233605
1.634640 65.390416
1.638560 65.547228
1.642480 65.704039
1.646400 65.860851
1.650320 66.017663
1.654240 66.174474
1.658160 66.331286
1.662080 66.488097
1.666000 66.644909
1.669920 66.801720
1.673840 66.958532
1.677760 67.115343
1.681680 67.272155
1.685600 67.428967
1.689520 67.585778
1.693440 67.742590
1.697360 67.899401
1.701280 68.056213
1.705200 68.213024
1.709120 68.369836
1.713040 68.526647
1.716960 68.683459
1.720880 68.840270
1.724800 68.997082
1.728720 69.153894
1.732640 69.310705
1.736560 69.467517
1.740480 69.624328
1.744400 69.781140
1.748320 69.937951
1.752240 70.094763
1.756160 70.251574
1.760080 70.408386
1.764000 70.565198
1.767920 70.722009
1.771840 70.878821
1.775760 71.035632
1.779680 71.192444
1.783600 71.349255
1.787520 71.506067
1.791440 71.662878
1.795360 71.819690
1.799280 71.976501
1.803200 72.133313
1.807120 72.290125
1.811040 72.446936
1.814960 72.603748
1.818880 72.760559
1.822800 72.917371
1.826720 73.074182
1.830640 73.230994
1.834560 73.387805
1.838480 73.544617
1.842400 73.701429
1.846320 73.858240
1.850240 74.015052
1.854160 74.171863
1.858080 74.328675
1.862000 74.485486
1.865920 74.642298
1.869840 74.799109
1.873760 74.955921
1.877680 75.112733
1.881600 75.269544
1.885520 75.426356
1.889440 75.583167
1.893360 75.739979
1.897280 75.896790
1.901200 76.053602
1.905120 76.210413
1.909040 76.367225
1.912960 76.524036
1.916880 76.680848
1.920800 76.837660
1.924720 76.994471
1.928640 77.151283
1.932560 77.308094
1.936480 77.464906
1.940400 77.621717
1.944320 77.778529
1.948240 77.935340
1.952160 78.092152
1.956080 78.248964
1.960000 78.405775
1.963920 78.562587
1.967840 78.719398
1.971760 78.876210
1.975680 79.033021
1.979600 79.189833
1.983520 79.346644
1.987440 79.503456
1.991360 79.660267
1.995280 79.817079
1.999200 79.973891
2.003120 80.130702
2.007040 80.287514
2.010960 80.444325
2.014880 80.601137
2.018800 80.757948
2.022720 80.914760
2.026640 81.071571
2.030560 81.228383
2.034480 81.385195
2.038400 81.542006
2.042320 81.698818
2.046240 81.855629
2.050160 82.012441
2.054080 82.169252
2.058000 82.326064
2.061920 82.482875
2.065840 82.639687
2.069760 82.796498
2.073680 82.953310
2.077600 83.110122
2.081520 83.266933
2.085440 83.423745
2.089360 83.580556
2.093280 83.737368
2.097200 83.894179
2.101120 84.050991
2.105040 84.207802
2.108960 84.364614
2.112880 84.521426
2.116800 84.678237
2.120720 84.835049
2.124640 84.991860
2.128560 85.148672
2.132480 85.305483
2.136400 85.462295
2.140320 85.619106
2.144240 85.775918
2.148160 85.932729
2.152080 86.089541
2.156000 86.246353
2.159920 86.403164
2.163840 86.559976
2.167760 86.716787
2.171680 86.873599
2.175600 87.030410
2.179520 87.187222
2.183440 87.344033
2.187360 87.500845
2.191280 87.657657
2.195200 87.814468
2.199120 87.971280
2.203040 88.128091
2.206960 88.284903
2.210880 88.441714
2.214800 88.598526
2.218720 88.755337
2.222640 88.912149
2.226560 89.068960
2.230480 89.225772
2.234400 89.382584
2.238320 89.539395
2.242240 89.696207
2.246160 89.853018
2.250080 90.009830
2.254000 90.166641
2.257920 90.323453
2.261840 90.480264
2.265760 90.637076
2.269680 90.793888
2.273600 90.950699
2.277520 91.107511
2.281440 91.264322
